"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"

1350,"1","спасибо","2025-05-13T08:58:28.692484Z",2945792,528.174,5,"Вопрос решен","2025-05-13T12:48:21.712089Z","","","","",""

1351,"1","спасибо!","2025-05-13T08:58:28.692484Z",3234340,11.823,5,"Вопрос решен","2025-05-13T12:48:27.290429Z","","","","",""

1352,"1","Отлично ","2025-05-13T08:58:28.692484Z",3380332,16.082,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-13T08:58:28.692484Z","","","","",""

1353,"1","Благодарю за оперативное решение проблемы ! ","2025-05-13T08:58:28.692484Z",3381812,58.946,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-13T12:48:32.126165Z","","","","",""

1354,"1","Прекрасный специалист! Побольше таких","2025-05-13T08:58:28.692484Z",3461991,8.592,5,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-13T12:48:36.161193Z","","","","",""

1355,"1","Спасибо ","2025-05-13T08:58:28.692484Z",3551430,10.555,5,"Вопрос решен","2025-05-13T12:48:42.234162Z","","","","",""

1356,"1","пересчет, и скорость 
","2025-05-13T08:58:28.692484Z",3572768,19.793,1,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-13T12:48:46.184228Z","","","","",""

1357,"1","Спасибо за обновление покраски стен","2025-05-13T08:58:28.692484Z",3584536,30.415,5,"Вопрос решен","2025-05-13T12:48:52.572099Z","","","","",""

1358,"1","выполнили быстро","2025-05-13T08:58:28.692484Z",3596020,16.322,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-13T12:48:55.888978Z","","","","",""

1359,"1","Спасибо! ","2025-05-13T08:58:28.692484Z",3617808,8.744,5,"Вопрос решен","2025-05-13T13:00:23.549719Z","","","","",""

1360,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-13T08:58:28.692484Z",3627490,134.153,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-13T13:00:46.997326Z","","","","",""

1361,"1","спасибо 
","2025-05-13T08:58:28.692484Z",3657819,7.963,5,"Вопрос решен","2025-05-13T13:00:50.267152Z","","","","",""

1362,"1","Спасибо ","2025-05-13T08:58:28.693507Z",3691620,6.143,5,"Вопрос решен","2025-05-13T13:00:53.849466Z","","","","",""

1363,"1","Решили мой вопрос. Спасибо! ","2025-05-13T08:58:28.693507Z",3695420,17.344,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-13T13:00:58.483126Z","","","","",""

1364,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-13T08:58:28.693507Z",3716702,41.519000000000005,5,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников"",""Вопрос решен""]}","2025-05-13T13:01:07.015235Z","","","","",""

1365,"1","Все исправили ","2025-05-13T08:58:28.693507Z",3726842,10.392999999999999,5,"Вопрос решен","2025-05-13T13:01:10.417300Z","","","","",""

1366,"1","спасибо за оперативную работу ","2025-05-13T08:58:28.693507Z",3745025,32.003,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-13T13:01:37.976405Z","","","","",""

1367,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-13T08:58:28.693507Z",3749719,123.96,5,"{""choices"":[""Нравится качество выполнения заявки"",""Вопрос решен"",""Другое""]}","2025-05-13T13:03:05.182796Z","","","","",""

